ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AL0001,Universiteti i Tiranës,2016,AL,public,uas,,,27284.0,,,0,0,,,,,0,0
AL0002,Universiteti Politeknik i Tiranës,2016,AL,public,uas,,,14117.0,,,0,0,,,,,0,0
AL0003,Universiteti Bujqësor i Tiranës,2016,AL,public,uas,,,10465.0,,,0,0,,,,,0,0
AL0004,"Universiteti i Elbasanit ""Aleksandër Xhuvani""",2016,AL,public,uas,,,12992.0,,,0,0,,,,,0,0
AL0005,"Universiteti i Shkodrës ""Luigj Gurakuqi""",2016,AL,public,uas,,,7915.0,,,0,0,,,,,0,0
AL0006,"Universiteti ""Eqrem Çabej"", Gjirokastër",2016,AL,public,uas,,,1616.0,,,0,0,,,,,0,0
AL0007,"Universiteti ""Fan S. Noli"", Korçë",2016,AL,public,uas,,,4465.0,,,0,0,,,,,0,0
AL0008,"Universiteti ""Ismail Qemali"", Vlorë",2016,AL,public,uas,,,8787.0,,,0,0,,,,,0,0
AL0009,"Universiteti ""Aleksandër Moisiu"", Durrës",2016,AL,public,uas,,,15981.0,,,0,0,,,,,0,0
AL0010,Universiteti i Arteve,2016,AL,public,uas,,,990.0,,,0,0,6639.0,,0.14911884319927698,,0,0
AL0011,Universiteti i Sporteve të Tiranës,2016,AL,public,uas,,,1349.0,,,0,0,3000.0,,0.44966666666666666,,0,0
AL0012,"Universiteti i Mjekësisë, Tiranë",2016,AL,public,uas,,,7427.0,,,0,0,3206.0,,2.316593886462882,,0,0
AL0013,Universiteti i New York-ut në Tiranë,2016,AL,private,uas,,,706.0,,,0,0,1926.0,,0.36656282450674976,,0,0
AL0014,"Universiteti Privat ""Albanian University""",2016,AL,private,uas,,,6965.0,,,0,0,3708.0,,1.878371089536138,,0,0
AL0015,"Universiteti Katolik ""Zoja e Këshillit të Mirë""",2016,AL,private,uas,,,1980.0,,,0,0,2306.0,,0.8586296617519514,,0,0
AL0016,Universiteti Europian i Tiranës,2016,AL,private,uas,,,4210.0,,,0,0,909.0,,4.631463146314632,,0,0
AL0017,"Universiteti ""Aldent""",2016,AL,private,uas,,,1245.0,,,0,0,1943.0,,0.6407617086978898,,0,0
AL0018,Universiteti Polis,2016,AL,private,uas,,,673.0,,,0,0,730.0,,0.921917808219178,,0,0
AL0019,"Universiteti ""EPOKA""",2016,AL,private,uas,,,1555.0,,,0,0,1637.0,,0.9499083689676237,,0,0
AL0020,"Universiteti ""Mesdhetar i Shqipërisë""",2016,AL,private,uas,,,1005.0,,,0,0,1991.0,,0.5047714716223004,,0,0
