ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Region of establishment (NUTS 2),Personnel expenditure (PPP),Total Current expenditure (PPP),Basic government allocation (PPP),Total Current revenues (PPP),Total academic staff (FTE),Total staff (FTE),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Target,Flag Total Students ISCED 5-7,Flag Total Students ISCED 5,Flag Total Students ISCED 6,Flag Total Students ISCED 7,Flag Total Students ISCED 7 long degree,Flag Total Students ISCED 8,Flag Total Graduates ISCED 5-7,Flag Total Graduates ISCED 5,Flag Total Graduates ISCED 6,Flag Total Graduates ISCED 7,Flag Total Graduates ISCED 7 long degree,Flag Total Graduates ISCED 8,Flag Total Staff FTE,Flag Total Staff HC,Flag Academic Staff FTE,Flag Academic Staff HC,Flag Non-Academic Staff FTE,Flag Total current revenues (NC),Flag Total current expenditures (NC)
AL0001,Universiteti i Tiranës,2016,AL,public,uas,AL02,,,,,,,27284.0,,1110.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0002,Universiteti Politeknik i Tiranës,2016,AL,public,uas,AL02,,,,,,,14117.0,,232.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0003,Universiteti Bujqësor i Tiranës,2016,AL,public,uas,AL02,,,,,,,10465.0,,262.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0004,"Universiteti i Elbasanit ""Aleksandër Xhuvani""",2016,AL,public,uas,AL02,,,,,,,12992.0,,29.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0005,"Universiteti i Shkodrës ""Luigj Gurakuqi""",2016,AL,public,uas,AL01,,,,,,,7915.0,,12.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0006,"Universiteti ""Eqrem Çabej"", Gjirokastër",2016,AL,public,uas,AL03,,,,,,,1616.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0007,"Universiteti ""Fan S. Noli"", Korçë",2016,AL,public,uas,AL03,,,,,,,4465.0,,11.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0008,"Universiteti ""Ismail Qemali"", Vlorë",2016,AL,public,uas,AL03,,,,,,,8787.0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0009,"Universiteti ""Aleksandër Moisiu"", Durrës",2016,AL,public,uas,AL01,,,,,,,15981.0,,19.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0010,Universiteti i Arteve,2016,AL,public,uas,AL02,,,,,,,990.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0011,Universiteti i Sporteve të Tiranës,2016,AL,public,uas,AL02,,,,,,,1349.0,,16.0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0012,"Universiteti i Mjekësisë, Tiranë",2016,AL,public,uas,AL02,,,,,,,7427.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0013,Universiteti i New York-ut në Tiranë,2016,AL,private,uas,AL02,,,,,,,706.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0014,"Universiteti Privat ""Albanian University""",2016,AL,private,uas,AL02,,,,,,,6965.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0015,"Universiteti Katolik ""Zoja e Këshillit të Mirë""",2016,AL,private,uas,AL02,,,,,,,1980.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0016,Universiteti Europian i Tiranës,2016,AL,private,uas,AL02,,,,,,,4210.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0017,"Universiteti ""Aldent""",2016,AL,private,uas,AL02,,,,,,,1245.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0018,Universiteti Polis,2016,AL,private,uas,AL02,,,,,,,673.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0019,"Universiteti ""EPOKA""",2016,AL,private,uas,AL02,,,,,,,1555.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0020,"Universiteti ""Mesdhetar i Shqipërisë""",2016,AL,private,uas,AL02,,,,,,,1005.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0021,EPITECH ALBANIA,2016,AL,private,uas,AL02,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0022,"Shkolla e lartë universitare, jopublike, Universiteti ""Marin Barleti""",2016,AL,private,uni,AL02,,,,,,,1139.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0023,"Shkolla e Larte ""Nehemia""",2016,AL,private,uni,AL03,,,,,,,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0024,"Shkolla private e arsimit të lartë, ""Universiteti Metropolitan Tirana""",2016,AL,private,uni,AL02,,,,,,,729.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0025,Akademia e Forcave të Armatosura,2016,AL,public,uni,AL02,,,,,,,0.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0026,Akademia e Sigurisë,2016,AL,public,uni,AL02,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0027,"Akademia e Filmit dhe Multimedias ""Marubi""",2016,AL,private,uni,AL02,,,,,,,15.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0028,"Kolegji Universitar ""Luarasi""",2016,AL,private,uni,AL02,,,,,,,595.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0029,"Kolegji Universitar ""Qiriazi""",2016,AL,private,uni,AL02,,,,,,,0.0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0030,"Kolegji Universitar ""WISDOM""",2016,AL,private,uni,AL02,,,,,,,322.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0031,"Kolegji Profesional Privat, ""Ivoclar Vivadent & Partners""",2016,AL,private,uni,AL02,,,,,,,16.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0032,"Kolegji Universitar ""Pavarësia Vlorë""",2016,AL,private,uni,AL03,,,,,,,409.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0033,"Kolegji Universitar ""LOGOS""",2016,AL,private,uni,AL02,,,,,,,352.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0034,Tirana Business University College,2016,AL,private,uni,AL02,,,,,,,465.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0035,"Kolegji Universitar ""Bedër""",2016,AL,private,uni,AL02,,,,,,,755.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0036,"Kolegji Universitar ""I Biznesit""",2016,AL,private,uni,AL02,,,,,,,284.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0037,"Kolegji Universitar ""REALD""",2016,AL,private,uni,AL03,,,,,,,337.0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0038,"Kolegji Universitar ""Instituti Kanadez i Teknologjisë""",2016,AL,private,uni,AL02,,,,,,,415.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0039,Kolegji Profesional i Tiranës,2016,AL,private,uni,AL02,,,,,,,342.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0066,Qendra e Studimeve Albanologjike,2016,AL,public,uni,AL02,,,,,,,0.0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0001,Universität Wien,2016,AT,public,uas,AT13,339202770.62,489147079.49,364955722.17,520868429.87,3411.57,5362.97,74010.59,9044.47,6873.71,625.5,21.693997191908707,0.6361344553484357,63249.05241312183,0.6934576221402843,0.9390991110981384,0.7006677718230817,0.1222050790299064,10.989144684252595,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AT0002,Universität Graz,2016,AT,public,uas,AT22,150342744.18,207008091.35,165856230.45,225078629.09,1343.68,2364.39,23722.78,3298.25,1509.84,185.0,17.65508156703977,0.5682988001133485,63586.27137654956,0.7262650614260641,0.9197145556952264,0.7368812895322935,0.13903303069876294,8.161297297297297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0003,Universität Innsbruck,2016,AT,public,uas,AT33,167647729.33,230794717.06,194385151.86,259349192.82,1570.67,2543.37,23822.7,3667.5,2334.81,249.0,15.167221631533039,0.6175546617283368,65915.5881094768,0.7263932704595505,0.8898995001699578,0.7495113046097354,0.15394980417836768,9.376746987951806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0004,Universität Salzburg,2016,AT,public,uas,AT32,104551040.53,139575851.4,115166775.29,151399053.27,1020.95,1671.67,14020.01,2124.33,1206.49,140.33,13.732317939174298,0.6107365688204012,62542.87062039758,0.7490625310991297,0.9219070290425472,0.7606835895110614,0.15152128992775327,8.597520131119504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0005,Technische Universität Wien,2016,AT,public,uas,AT13,193029614.88,302599734.37,205739921.45,328315498.6,2339.23,3318.02,24471.96,2502.5,2170.16,255.5,10.461545038324576,0.7050078058601215,58176.14567724124,0.6379041121165542,0.921673620832227,0.6266530892611354,0.10225989254640824,8.493776908023483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
