Nuts,ETER_ID,INST_NAME,REF_YEAR,LEGAL_STAT,FOUND_YEAR,GRAD_ISCED8,R&D_EXP,RES_MOB,COOP_RES,TOT_INC_STUD,TOT_OUT_STUD,INC_STAFF,OUT_STAFF,TOT_ACC_STAFF,FOR_ACC_STAFF,STUD_ENR_I8,TOT_EXP,TOT_REV,CORE_BUDG,TOT_STAFF,TOT_RES,TOT_STUD_ENR
FRL0,FR0001,Université Nice - Sophia-Antipolis,2017,0.0,1965.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,26602.0
FRF2,FR0002,Université de technologie de Troyes,2017,0.0,1994.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2915.0
FRL0,FR0003,École de l'air,2017,0.0,1933.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRL0,FR0004,École nationale supérieure d'architecture de Marseille,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRL0,FR0005,École supérieure d'art et de design Marseille-Mediterranée,2017,0.0,1752.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRL0,FR0006,École centrale de Marseille,2017,0.0,2003.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1040.0
FRL0,FR0007,Aix-Marseille université,2017,0.0,2012.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,58721.0
FRD1,FR0008,Université de Caen Basse-Normandie,2017,0.0,1896.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,25770.0
FRD1,FR0009,École supérieure d'arts et médias de Caen - Cherbourg,2017,0.0,2011.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRD1,FR0010,École nationale supérieure d'ingénieurs de Caen,2017,0.0,1976.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,705.0
FRD1,FR0011,École supérieure d'ingénieurs des travaux de la construction de Caen,2017,1.0,1993.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI3,FR0012,École européenne supérieure de l'image,2017,0.0,1995.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI3,FR0013,École d'ingénieurs en génie des systèmes industriels,2017,1.0,1990.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI3,FR0014,Université de La Rochelle,2017,0.0,1993.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,7750.0
FRB0,FR0015,École nationale supérieure d'art de Bourges,2017,0.0,1881.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRC1,FR0017,École nationale supérieure d'art de Dijon,2017,0.0,1968.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRC1,FR0018,Université de Bourgogne,2017,0.0,1722.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,26872.0
FRC1,FR0019,École nationale des greffes,2017,0.0,1974.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRC1,FR0020,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",2017,0.0,2009.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,570.0
FRC2,FR0021,École nationale supérieure de mécanique et des microtechniques,2017,0.0,1902.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,844.0
FRC2,FR0022,Université de Franche-Comté,2017,0.0,1423.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,19391.0
FRH0,FR0023,École nationale d'ingénieurs de Brest,2017,0.0,1961.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,663.0
FRH0,FR0024,École Navale,2017,0.0,1830.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0025,École nationale supérieure de techniques avancées Bretagne,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0026,Université de Bretagne Occidentale,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,18728.0
FRH0,FR0028,Institut supérieur de l'électronique et du numérique Brest,2017,1.0,1994.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ1,FR0029,École des mines d'Alès,2017,0.0,1843.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ1,FR0030,Université de Nîmes,2017,0.0,2007.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4066.0
FRJ2,FR0031,Institut supérieur des Arts de Toulouse,2017,0.0,2011.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ2,FR0032,École nationale supérieure d'architecture de Toulouse,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ2,FR0033,Institut national des sciences appliquées de Toulouse,2017,0.0,1963.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2749.0
FRJ2,FR0034,École d'ingénieurs de Purpan,2017,1.0,1919.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ2,FR0035,Institut catholique de Toulouse,2017,1.0,1876.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRJ2,FR0036,École nationale de l'aviation civile,2017,0.0,1949.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ2,FR0037,Institut national polytechnique de Toulouse,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,3219.0
FRJ2,FR0038,Université Toulouse 1 - Capitole,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,20001.0
FRJ2,FR0039,Université Toulouse - Jean Jaurès,2017,0.0,1974.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,24567.0
FRJ2,FR0040,Université de Toulouse 3 - Paul Sabatier,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,27895.0
FRJ2,FR0041,Institut supérieur de l'aéronautique et de l'espace,2017,0.0,2007.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0042,École nationale supérieure d'architecture et de paysage de Bordeaux,2017,0.0,1973.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0043,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,2017,0.0,1963.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRI1,FR0046,Université Bordeaux Montaigne,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,13889.0
FRI1,FR0047,École des beaux-arts de Bordeaux,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0048,École nationale de la magistrature,2017,0.0,1959.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0050,Institut polytechnique de Bordeaux,2017,0.0,2009.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2466.0
FRJ1,FR0051,École nationale supérieure de chimie de Montpellier,2017,0.0,1957.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,392.0
FRJ1,FR0052,École nationale supérieure d’architecture de Montpellier,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRJ1,FR0055,Université Montpellier 3 - Paul-Valéry,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,18209.0
FRJ1,FR0056,Institut national d'études supérieures agronomiques de Montpellier,2017,0.0,2007.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRH0,FR0057,École nationale supérieure de chimie de Rennes,2017,0.0,1919.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,445.0
FRH0,FR0058,École nationale supérieure d'architecture de Bretagne,2017,0.0,1968.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0059,École régionale des beaux-arts de Rennes,2017,0.0,1795.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0060,École des hautes études en santé publique,2017,0.0,1945.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0
FRH0,FR0061,Institut national des sciences appliquées de Rennes,2017,0.0,1966.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1824.0
FRH0,FR0062,Université de Rennes 1,2017,0.0,1970.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,25344.0
FRH0,FR0063,Université Rennes 2,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,19597.0
FRH0,FR0064,ECAM Rennes Louis de Broglie,2017,1.0,1991.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0065,Institut catholique de Rennes,2017,1.0,1989.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0066,École des métiers de l'environnement,2017,1.0,1992.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0067,École des Avocats du Grand Ouest,2017,1.0,1990.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0068,École nationale de la statistique et de l'analyse de l'information,2017,0.0,1994.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0069,"Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage",2017,0.0,2008.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRB0,FR0070,Université de Tours,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,24178.0
FRK2,FR0071,École nationale supérieure d'architecture de Grenoble,2017,0.0,1927.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0072,École supérieure d'art de Grenoble,2017,0.0,2011.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRK2,FR0076,Grenoble INP,2017,0.0,1900.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5131.0
FRK2,FR0077,Communauté Université Grenoble-Alpes ,2017,0.0,2009.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
